Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,CG,Mass Units,Mass,AutoSize
SEMROC Astronautics,RA-115-70P,Centering Ring #115 to BT-70,in,1.222,2.173,0.110,lite ply,0.055,oz,0,0
SEMROC Astronautics,CR-115-150P,Centering Ring #115 to #150,in,1.222,1.498,0.100,lite ply,0.050,oz,0,0
SEMROC Astronautics,CR-115-16P,Centering Ring #115 to #16,in,1.222,1.598,0.110,lite ply,0.055,oz,0,0
SEMROC Astronautics,CR-115-175P,Centering Ring #115 to #175,in,1.222,1.748,0.100,lite ply,0.050,oz,0,0
SEMROC Astronautics,CR-115-225P,Centering Ring #115 to #225,in,1.222,2.248,0.100,lite ply,0.050,oz,0,0
SEMROC Astronautics,CR-115-275P,Centering Ring #115 to #275,in,1.222,2.748,0.100,lite ply,0.050,oz,0,0
SEMROC Astronautics,RA-115-80P,Centering Ring #115 to BT-80,in,1.222,2.566,0.110,lite ply,0.055,oz,0,0
SEMROC Astronautics,AR-520,Centering Ring BT-5 to BT-20,in,0.543,0.708,0.250,Fiber,0.125,oz,0,0
SEMROC Astronautics,RA-520,Centering Ring BT-5 to BT-20,in,0.543,0.708,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-550,Centering Ring BT-5 to BT-50,in,0.543,0.948,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-555,Centering Ring BT-5 to BT-55,in,0.543,1.281,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-560,Centering Ring BT-5 to BT-60,in,0.543,1.593,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,AR-2050,Centering Ring BT-20 to BT-50,in,0.738,0.948,0.250,Fiber,0.125,oz,0,0
SEMROC Astronautics,AR-2050S,Centering Ring BT-20 to BT-50 Split,in,0.738,0.948,0.250,Fiber,0.125,oz,0,0
SEMROC Astronautics,RA-2050,Centering Ring BT-20 to BT-50,in,0.738,0.948,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-2055,Centering Ring BT-20 to BT-55,in,0.738,1.281,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-2060,Centering Ring BT-20 to BT-60,in,0.738,1.593,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-2070,Centering Ring BT-20 to BT-70,in,0.738,2.173,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-2080,Centering Ring BT-20 to BT-80,in,0.738,2.566,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-50-18,Centering Ring BT-50 to #18,in,0.978,1.798,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-5055,Centering Ring BT-50 to BT-55,in,0.978,1.281,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RAH-5055,Centering Ring BT-50 to BT-55,in,0.978,1.281,0.070,Fiber,0.035,oz,0,0
SEMROC Astronautics,RA-5060,Centering Ring BT-50 to BT-60,in,0.978,1.593,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RAH-5060,Centering Ring BT-50 to BT-60,in,0.978,1.593,0.070,Fiber,0.035,oz,0,0
SEMROC Astronautics,RA-5070,Centering Ring BT-50 to BT-70,in,0.978,2.173,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-5080,Centering Ring BT-50 to BT-80,in,0.978,2.566,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-5560,Centering Ring BT-55 to BT-60,in,1.013,1.593,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,RA-7080,Centering Ring BT-70 to BT-80,in,2.219,2.566,0.050,Fiber,0.025,oz,0,0
