Mfg.,Part No.,Desc.,Units,Front Insert Len,Front Insert OD,Front OD,Length,Rear OD,Core Dia.,Rear Insert Len,Rear Insert OD,Thickness,Config,Material,CG Loc,Mass Units,Mass,Shape,Shape Param
SEMROC Astronautics,TA-5060 [R],Balsa Reducer BT-50 to BT-60 – Reversed,in,0.500,1.595,1.637,2.000,0.9760,0,0.500,0.950,0,0,Balsa,0.870,oz,0.230,cone,0
SEMROC Astronautics,TA-5060C,Balsa Reducer BT-50 to BT-60,in,0.500,0.950,0.976,0.500,1.6370,0,0.500,1.595,0,0,Balsa,1.065,oz,0.140,cone,0
SEMROC Astronautics,TA-5060C [R],Balsa Reducer BT-50 to BT-60 – Reversed,in,0.500,1.595,1.637,0.500,0.9760,0,0.500,0.950,0,0,Balsa,0.435,oz,0.140,cone,0
SEMROC Astronautics,TA-5060E,Balsa Reducer BT-50 to BT-60,in,0.500,0.950,0.976,2.000,1.6370,0,0.500,1.595,0,0,Balsa,2.130,oz,0.210,elliptical,0
SEMROC Astronautics,TA-5060E [R],Balsa Reducer BT-50 to BT-60 – Reversed,in,0.500,1.595,1.637,2.000,0.9760,0,0.500,0.950,0,0,Balsa,0.870,oz,0.210,elliptical,0
SEMROC Astronautics,TA-5065,Balsa Reducer BT-50 to BT-65,in,0.500,0.950,0.976,2.000,1.7960,0,0.500,1.750,0,0,Balsa,2.130,oz,0.260,cone,0
SEMROC Astronautics,TA-5065 [R],Balsa Reducer BT-50 to BT-65 – Reversed,in,0.500,1.750,1.796,2.000,0.9760,0,0.500,0.950,0,0,Balsa,0.870,oz,0.260,cone,0
SEMROC Astronautics,TA-520,Balsa Reducer BT-5 to BT-20,in,0.500,0.515,0.541,0.750,0.7360,0,0.500,0.710,0,0,Balsa,1.243,oz,0.040,cone,0
SEMROC Astronautics,TA-520 [R],Balsa Reducer BT-5 to BT-20 – Reversed,in,0.500,0.710,0.736,0.750,0.5410,0,0.500,0.515,0,0,Balsa,0.508,oz,0.040,cone,0
SEMROC Astronautics,TA-5260A,Balsa Reducer BT-52 to BT-60,in,0.500,0.988,1.014,1.000,1.6370,0,0.500,1.595,0,0,Balsa,1.420,oz,0.230,cone,0
SEMROC Astronautics,TA-5260A [R],Balsa Reducer BT-52 to BT-60 – Reversed,in,0.500,1.595,1.637,1.000,1.0140,0,0.500,0.988,0,0,Balsa,0.580,oz,0.230,cone,0
SEMROC Astronautics,TA-5260C,Balsa Reducer BT-52 to BT-60,in,0.500,0.988,1.014,3.800,1.6370,0,0.500,1.595,0,0,Balsa,3.408,oz,0.330,cone,0
SEMROC Astronautics,TA-5260C [R],Balsa Reducer BT-52 to BT-60 – Reversed,in,0.500,1.595,1.637,3.800,1.0140,0,0.500,0.988,0,0,Balsa,1.392,oz,0.330,cone,0
SEMROC Astronautics,TA-550,Balsa Reducer BT-5 to BT-50,in,0.500,0.515,0.541,1.000,0.9760,0,0.500,0.950,0,0,Balsa,1.420,oz,0.060,cone,0
SEMROC Astronautics,TA-550 [R],Balsa Reducer BT-5 to BT-50 – Reversed,in,0.500,0.950,0.976,1.000,0.5410,0,0.500,0.515,0,0,Balsa,0.580,oz,0.060,cone,0
SEMROC Astronautics,TA-5560,Balsa Reducer BT-55 to BT-60,in,0.500,1.283,1.325,1.000,1.6370,0,0.500,1.595,0,0,Balsa,1.420,oz,0.250,cone,0
SEMROC Astronautics,TA-5560 [R],Balsa Reducer BT-55 to BT-60 – Reversed,in,0.500,1.595,1.637,1.000,1.3250,0,0.500,1.283,0,0,Balsa,0.580,oz,0.250,cone,0
