Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,Mass Units,Mass
SEMROC Astronautics,BT-50B,Classic Body Tube BT-50,in,0.95,0.976,10.25,Spiral/Glassine,,oz,0.2
SEMROC Astronautics,BT-50EE,Classic Body Tube BT-50,in,0.95,0.976,5.5,Spiral/Glassine,,oz,0.11
SEMROC Astronautics,BT-50F,Classic Body Tube BT-50,in,0.95,0.976,5,Spiral/Glassine,,oz,0.1
SEMROC Astronautics,BT-50FE,Classic Body Tube BT-50,in,0.95,0.976,6.5,Spiral/Glassine,,oz,0.13
SEMROC Astronautics,BT-50H,Classic Body Tube BT-50,in,0.95,0.976,7.75,Spiral/Glassine,,oz,0.15
SEMROC Astronautics,BT-50IJ,Classic Body Tube BT-50,in,0.95,0.976,9,Spiral/Glassine,,oz,0.18
SEMROC Astronautics,BT-50J,Classic Body Tube BT-50,in,0.95,0.976,2.75,Spiral/Glassine,,oz,0.05
SEMROC Astronautics,BT-50KE,Classic Body Tube BT-50,in,0.95,0.976,15.5,Spiral/Glassine,,oz,0.3
SEMROC Astronautics,BT-50L,Classic Body Tube BT-50,in,0.95,0.976,12.7,Spiral/Glassine,,oz,0.25
SEMROC Astronautics,BT-50N,Classic Body Tube BT-50,in,0.95,0.976,14,Spiral/Glassine,,oz,0.28
SEMROC Astronautics,BT-50P,Classic Body Tube BT-50,in,0.95,0.976,11,Spiral/Glassine,,oz,0.22
SEMROC Astronautics,BT-50S,Classic Body Tube BT-50,in,0.95,0.976,4,Spiral/Glassine,,oz,0.08
SEMROC Astronautics,BT-50SV,Classic Body Tube BT-50,in,0.95,0.976,16.25,Spiral/Glassine,,oz,0.32
SEMROC Astronautics,BT-50TF,Classic Body Tube BT-50,in,0.95,0.976,16,Spiral/Glassine,,oz,0.32
SEMROC Astronautics,BT-50V,Classic Body Tube BT-50,in,0.95,0.976,16.5,Spiral/Glassine,,oz,0.33
SEMROC Astronautics,BT-50W,Classic Body Tube BT-50,in,0.95,0.976,9.5,Spiral/Glassine,,oz,0.19
SEMROC Astronautics,BT-51CI,Classic Body Tube BT-51,in,0.984,1.011,3.88,Spiral/Glassine,,oz,0.08
SEMROC Astronautics,BT-51N,Classic Body Tube BT-51,in,0.984,1.011,12.42,Spiral/Glassine,,oz,0.25
SEMROC Astronautics,BT-52,Classic Body Tube BT-52,in,0.988,1.014,18,Spiral/Glassine,,oz,0.37
SEMROC Astronautics,BT-52AG,Classic Body Tube BT-52,in,0.988,1.014,2.1,Spiral/Glassine,,oz,0.05
SEMROC Astronautics,BT-52S,Classic Body Tube BT-52,in,0.988,1.014,3.94,Spiral/Glassine,,oz,0.08
SEMROC Astronautics,BT-55,Classic Body Tube BT-55,in,1.283,1.325,18,Spiral/Glassine,,oz,0.77
SEMROC Astronautics,BT-55C,Classic Body Tube BT-55,in,1.283,1.325,14,Spiral/Glassine,,oz,0.6
SEMROC Astronautics,BT-55E,Classic Body Tube BT-55,in,1.283,1.325,2.1,Spiral/Glassine,,oz,0.09
SEMROC Astronautics,BT-55IJ,Classic Body Tube BT-55,in,1.283,1.325,9,Spiral/Glassine,,oz,0.39
SEMROC Astronautics,BT-55J,Classic Body Tube BT-55,in,1.283,1.325,2.75,Spiral/Glassine,,oz,0.12
SEMROC Astronautics,BT-55KA,Classic Body Tube BT-55,in,1.283,1.325,10.5,Spiral/Glassine,,oz,0.45
SEMROC Astronautics,BT-55KG,Classic Body Tube BT-55,in,1.283,1.325,16.75,Spiral/Glassine,,oz,0.72
SEMROC Astronautics,BT-55S,Classic Body Tube BT-55,in,1.283,1.325,4,Spiral/Glassine,,oz,0.17
SEMROC Astronautics,BT-55V,Classic Body Tube BT-55,in,1.283,1.325,16.35,Spiral/Glassine,,oz,0.7
SEMROC Astronautics,BT-55W,Classic Body Tube BT-55,in,1.283,1.325,12,Spiral/Glassine,,oz,0.52
SEMROC Astronautics,BT-58,Classic Body Tube BT-58,in,1.498,1.54,12.75,Spiral/Glassine,,oz,0.63
SEMROC Astronautics,BT-58-180,Classic Body Tube BT-58,in,1.498,1.54,18,Spiral/Glassine,,oz,0.89
SEMROC Astronautics,BT-58LJ,Classic Body Tube BT-58,in,1.498,1.54,5.38,Spiral/Glassine,,oz,0.27
SEMROC Astronautics,BT-58SB,Classic Body Tube BT-58,in,1.498,1.54,6.38,Spiral/Glassine,,oz,0.32
SEMROC Astronautics,BT-58SV,Classic Body Tube BT-58,in,1.498,1.54,6.13,Spiral/Glassine,,oz,0.3
SEMROC Astronautics,BT-5BJ,Classic Body Tube BT-5,in,0.515,0.541,2,Spiral/Glassine,,oz,0.02
SEMROC Astronautics,BT-5CJ,Classic Body Tube BT-5,in,0.515,0.541,3,Spiral/Glassine,,oz,0.04
SEMROC Astronautics,BT-5P,Classic Body Tube BT-5,in,0.515,0.541,5.1,Spiral/Glassine,,oz,0.06
SEMROC Astronautics,BT-5T,Classic Body Tube BT-5,in,0.515,0.541,1.5,Spiral/Glassine,,oz,0.02
SEMROC Astronautics,BT-60,Classic Body Tube BT-60,in,1.595,1.637,18,Spiral/Glassine,,oz,0.96
SEMROC Astronautics,BT-60AD,Classic Body Tube BT-60,in,1.595,1.637,14,Spiral/Glassine,,oz,0.75
SEMROC Astronautics,BT-60AJ,Classic Body Tube BT-60,in,1.595,1.637,10,Spiral/Glassine,,oz,0.53,,,
SEMROC Astronautics,BT-60C,Classic Body Tube BT-60,in,1.595,1.637,1,Spiral/Glassine,,oz,0.05,,,
SEMROC Astronautics,BT-60D,Classic Body Tube BT-60,in,1.595,1.637,11,Spiral/Glassine,,oz,0.59,,,
SEMROC Astronautics,BT-60DS,Classic Body Tube BT-60,in,1.595,1.637,12.5,Spiral/Glassine,,oz,0.67,,,
SEMROC Astronautics,BT-60FG,Classic Body Tube BT-60,in,1.595,1.637,6.7,Spiral/Glassine,,oz,0.36,,,
SEMROC Astronautics,BT-60HE,Classic Body Tube BT-60,in,1.595,1.637,8.5,Spiral/Glassine,,oz,0.45,,,
SEMROC Astronautics,BT-60J,Classic Body Tube BT-60,in,1.595,1.637,2.75,Spiral/Glassine,,oz,0.15,,,
SEMROC Astronautics,BT-60K,Classic Body Tube BT-60,in,1.595,1.637,7,Spiral/Glassine,,oz,0.37,,,
SEMROC Astronautics,BT-60KC,Classic Body Tube BT-60,in,1.595,1.637,12.84,Spiral/Glassine,,oz,0.68,,,
SEMROC Astronautics,BT-60KF,Classic Body Tube BT-60,in,1.595,1.637,16.1,Spiral/Glassine,,oz,0.86,,,
SEMROC Astronautics,BT-60P,Classic Body Tube BT-60,in,1.595,1.637,16,Spiral/Glassine,,oz,0.85,,,
SEMROC Astronautics,BT-60R,Classic Body Tube BT-60,in,1.595,1.637,5,Spiral/Glassine,,oz,0.27,,,
SEMROC Astronautics,BT-60V,Classic Body Tube BT-60,in,1.595,1.637,4.31,Spiral/Glassine,,oz,0.23,,,
SEMROC Astronautics,BT-65,Classic Body Tube BT-65,in,1.750,1.796,18,Spiral/Glassine,,oz,1.045,,,
SEMROC Astronautics,BT-70,Classic Body Tube BT-70,in,2.175,2.217,18,Spiral/Glassine,,oz,1.69,,,
SEMROC Astronautics,BT-70H,Classic Body Tube BT-70,in,2.175,2.217,7.15,Spiral/Glassine,,oz,0.67,,,
SEMROC Astronautics,BT-70KD,Classic Body Tube BT-70,in,2.175,2.217,17.5,Spiral/Glassine,,oz,1.64
SEMROC Astronautics,BT-70V,Classic Body Tube BT-70,in,2.175,2.217,10.6,Spiral/Glassine,,oz,1
SEMROC Astronautics,BT-80,Classic Body Tube BT-80,in,2.558,2.6,18,Spiral/Glassine,,oz,1.53
SEMROC Astronautics,BT-80KD,Classic Body Tube BT-80,in,2.558,2.6,14.2,Spiral/Glassine,,oz,1.21
SEMROC Astronautics,BT-80S,Classic Body Tube BT-80,in,2.558,2.6,4.5,Spiral/Glassine,,oz,0.38
SEMROC Astronautics,BTH-70-120,Classic Body Tube BTH-70,in,2.175,2.247,12,Spiral/Glassine,,oz,1.48
SEMROC Astronautics,BTH-70-180,Classic Body Tube BTH-70,in,2.175,2.247,18,Spiral/Glassine,,oz,2.22
SEMROC Astronautics,BTH-70-286,Classic Body Tube BTH-70,in,2.175,2.247,28.6,Spiral/Glassine,,oz,3.5
SEMROC Astronautics,BTH-70-300,Classic Body Tube BTH-70,in,2.175,2.247,30,Spiral/Glassine,,oz,3.7
SEMROC Astronautics,BTH-70-58,Classic Body Tube BTH-70,in,2.175,2.247,5.8,Spiral/Glassine,,oz,0.72
SEMROC Astronautics,BTH-80-300,Classic Body Tube BTH-80,in,2.558,2.64,30,Spiral/Glassine,,oz,5.06
SEMROC Astronautics,CPT-7180,Clear Plastic Body Tube - Series 7,in,0.715,0.741,18,Polycarbonate,,oz,0.38
SEMROC Astronautics,CPT-722,Clear Plastic Body Tube - Series 7,in,0.715,0.741,2.25,Polycarbonate,,oz,0.05
SEMROC Astronautics,CPT-8180,Clear Plastic Body Tube - Series 8,in,0.865,0.891,18,Polycarbonate,,oz,0.47
SEMROC Astronautics,CPT-825,Clear Plastic Body Tube - Series 8,in,0.865,0.891,2.5,Polycarbonate,,oz,0.07
SEMROC Astronautics,CPT-835,Clear Plastic Body Tube - Series 8,in,0.865,0.891,3.5,Polycarbonate,,oz,0.09
SEMROC Astronautics,LT-085160,Large Body Tube - Series 085,in,0.865,0.945,16,Spiral/Glassine,,oz,0.8
SEMROC Astronautics,LT-085220,Large Body Tube - Series 085,in,0.865,0.945,22,Spiral/Glassine,,oz,1.1
SEMROC Astronautics,LT-085300,Large Body Tube - Series 085,in,0.865,0.945,30,Spiral/Glassine,,oz,1.5
SEMROC Astronautics,LT-08580,Large Body Tube - Series 085,in,0.865,0.945,8,Spiral/Glassine,,oz,0.4
SEMROC Astronautics,LT-115220,Large Body Tube - Series 115,in,1.14,1.22,22,Spiral/Glassine,,oz,1.82
SEMROC Astronautics,LT-11530,Large Body Tube - Series 115,in,1.14,1.22,3,Spiral/Glassine,,oz,0.248
SEMROC Astronautics,LT-115300,Large Body Tube - Series 115,in,1.14,1.22,30,Spiral/Glassine,,oz,2.48
SEMROC Astronautics,LT-11535,Large Body Tube - Series 115,in,1.14,1.22,3.5,Spiral/Glassine,,oz,0.289
SEMROC Astronautics,LT-11550,Large Body Tube - Series 115,in,1.14,1.22,5,Spiral/Glassine,,oz,0.413
SEMROC Astronautics,LT-11555,Large Body Tube - Series 115,in,1.14,1.22,5.5,Spiral/Glassine,,oz,0.45
SEMROC Astronautics,LT-11560,Large Body Tube - Series 115,in,1.14,1.22,6,Spiral/Glassine,,oz,0.5
SEMROC Astronautics,LT-11575,Large Body Tube - Series 115,in,1.14,1.22,7.5,Spiral/Glassine,,oz,0.62
SEMROC Astronautics,LT-11580,Large Body Tube - Series 115,in,1.14,1.22,8,Spiral/Glassine,,oz,0.66
SEMROC Astronautics,LT-125122,Large Body Tube - Series 125,in,1.25,1.34,12.25,Spiral/Glassine,,oz,0.93
SEMROC Astronautics,LT-125157,Large Body Tube - Series 125,in,1.25,1.34,15.75,Spiral/Glassine,,oz,1.2
SEMROC Astronautics,LT-125220,Large Body Tube - Series 125,in,1.25,1.34,22,Spiral/Glassine,,oz,2.25
SEMROC Astronautics,LT-125300,Large Body Tube - Series 125,in,1.25,1.34,30,Spiral/Glassine,,oz,3.05
SEMROC Astronautics,LT-12580,Large Body Tube - Series 125,in,1.25,1.34,8,Spiral/Glassine,,oz,0.81
SEMROC Astronautics,LT-150220,Large Body Tube - Series 150,in,1.5,1.59,22,Spiral/Glassine,,oz,2.25
SEMROC Astronautics,LT-150300,Large Body Tube - Series 150,in,1.5,1.59,30,Spiral/Glassine,,oz,3.05
SEMROC Astronautics,LT-15080,Large Body Tube - Series 150,in,1.5,1.59,8,Spiral/Glassine,,oz,0.97
SEMROC Astronautics,LT-175220,Large Body Tube - Series 175,in,1.75,1.84,22,Spiral/Glassine,,oz,3.1
SEMROC Astronautics,LT-175300,Large Body Tube - Series 175,in,1.75,1.84,30,Spiral/Glassine,,oz,4.23
SEMROC Astronautics,LT-17580,Large Body Tube - Series 175,in,1.75,1.84,8,Spiral/Glassine,,oz,1.13
SEMROC Astronautics,LT-200220,Large Body Tube - Series 200,in,2,2.08,22,Spiral/Glassine,,oz,3.52
SEMROC Astronautics,LT-200300,Large Body Tube - Series 200,in,2,2.08,30,Spiral/Glassine,,oz,4.8
SEMROC Astronautics,LT-20080,Large Body Tube - Series 200,in,2,2.08,8,Spiral/Glassine,,oz,0.768
SEMROC Astronautics,LT-225140,Large Body Tube - Series 225,in,2.25,2.34,14,Spiral/Glassine,,oz,2.52
SEMROC Astronautics,LT-225220,Large Body Tube - Series 225,in,2.25,2.34,22,Spiral/Glassine,,oz,3.97
SEMROC Astronautics,LT-225300,Large Body Tube - Series 225,in,2.25,2.34,30,Spiral/Glassine,,oz,5.41
SEMROC Astronautics,LT-22580,Large Body Tube - Series 225,in,2.25,2.34,8,Spiral/Glassine,,oz,1.44
SEMROC Astronautics,LT-275220,Large Body Tube - Series 275,in,2.75,2.84,22,Spiral/Glassine,,oz,4.83
SEMROC Astronautics,LT-275300,Large Body Tube - Series 275,in,2.75,2.84,30,Spiral/Glassine,,oz,6.59
SEMROC Astronautics,LT-27580,Large Body Tube - Series 275,in,2.75,2.84,8,Spiral/Glassine,,oz,1.76
SEMROC Astronautics,PST-50MJ,Clear Plastic Body Tube - BT50,in,0.95,0.976,6,Polycarbonate,,oz,0.17
SEMROC Astronautics,PST-50S,Clear Plastic Body Tube - BT50,in,0.95,0.976,4,Polycarbonate,,oz,0.11
SEMROC Astronautics,PST-55,Clear Plastic Body Tube - BT55,in,1.283,1.325,12,Polycarbonate,,oz,0.45
SEMROC Astronautics,PST-55-180,Clear Plastic Body Tube - BT55,in,1.283,1.325,18,Polycarbonate,,oz,0.67
SEMROC Astronautics,RT-70,Classic Body Tube BT-70,in,2.175,2.217,0.68,Spiral/Glassine,,oz,0.09
SEMROC Astronautics,RT-99D,Classic Body Tube BT-99,in,3.668,3.7,0.39,Spiral/Glassine,,oz,1.42
SEMROC Astronautics,ST-10100,Standard Body Tube - Series 10,in,1,1.04,10,Spiral/Glassine,,oz,0.307
SEMROC Astronautics,ST-10105,Standard Body Tube - Series 10,in,1,1.04,10.5,Spiral/Glassine,,oz,0.323
SEMROC Astronautics,ST-10120,Standard Body Tube - Series 10,in,1,1.04,12,Spiral/Glassine,,oz,0.369
SEMROC Astronautics,ST-10180,Standard Body Tube - Series 10,in,1,1.04,18,Spiral/Glassine,,oz,0.553
SEMROC Astronautics,ST-1020,Standard Body Tube - Series 10,in,1,1.04,2,Spiral/Glassine,,oz,0.061
SEMROC Astronautics,ST-1030,Standard Body Tube - Series 10,in,1,1.04,3,Spiral/Glassine,,oz,0.092
SEMROC Astronautics,ST-1040,Standard Body Tube - Series 10,in,1,1.04,4,Spiral/Glassine,,oz,0.123
SEMROC Astronautics,ST-1050,Standard Body Tube - Series 10,in,1,1.04,5,Spiral/Glassine,,oz,0.154
SEMROC Astronautics,ST-1060,Standard Body Tube - Series 10,in,1,1.04,6,Spiral/Glassine,,oz,0.184
SEMROC Astronautics,ST-1080,Standard Body Tube - Series 10,in,1,1.04,8,Spiral/Glassine,,oz,0.246
SEMROC Astronautics,ST-1095,Standard Body Tube - Series 10,in,1,1.04,9.5,Spiral/Glassine,,oz,0.292
SEMROC Astronautics,ST-11120,Standard Body Tube - Series 11,in,1.13,1.17,12,Spiral/Glassine,,oz,0.432
SEMROC Astronautics,ST-11180,Standard Body Tube - Series 11,in,1.13,1.17,18,Spiral/Glassine,,oz,0.648
SEMROC Astronautics,ST-1160,Standard Body Tube - Series 11,in,1.13,1.17,6,Spiral/Glassine,,oz,0.216
SEMROC Astronautics,ST-1180,Standard Body Tube - Series 11,in,1.13,1.17,8,Spiral/Glassine,,oz,0.288
SEMROC Astronautics,ST-1190,Standard Body Tube - Series 11,in,1.13,1.17,9,Spiral/Glassine,,oz,0.324
SEMROC Astronautics,ST-13105,Standard Body Tube - Series 13,in,1.3,1.34,10.5,Spiral/Glassine,,oz,0.436
SEMROC Astronautics,ST-13130,Standard Body Tube - Series 13,in,1.3,1.34,13,Spiral/Glassine,,oz,0.54
SEMROC Astronautics,ST-13135,Standard Body Tube - Series 13,in,1.3,1.34,13.5,Spiral/Glassine,,oz,0.56
SEMROC Astronautics,ST-13180,Standard Body Tube - Series 13,in,1.3,1.34,18,Spiral/Glassine,,oz,0.747
SEMROC Astronautics,ST-1322,Standard Body Tube - Series 13,in,1.3,1.34,2.2,Spiral/Glassine,,oz,0.091
SEMROC Astronautics,ST-1330,Standard Body Tube - Series 13,in,1.3,1.34,3,Spiral/Glassine,,oz,0.125
SEMROC Astronautics,ST-1340,Standard Body Tube - Series 13,in,1.3,1.34,4,Spiral/Glassine,,oz,0.166
SEMROC Astronautics,ST-1363,Standard Body Tube - Series 13,in,1.3,1.34,6.25,Spiral/Glassine,,oz,0.26
SEMROC Astronautics,ST-1380,Standard Body Tube - Series 13,in,1.3,1.34,8,Spiral/Glassine,,oz,0.332
SEMROC Astronautics,ST-1383,Standard Body Tube - Series 13,in,1.3,1.34,8.25,Spiral/Glassine,,oz,0.342
SEMROC Astronautics,ST-16100,Standard Body Tube - Series 16,in,1.6,1.64,10,Spiral/Glassine,,oz,0.509
SEMROC Astronautics,ST-16109,Standard Body Tube - Series 16,in,1.6,1.64,10.9,Spiral/Glassine,,oz,0.555
SEMROC Astronautics,ST-16110,Standard Body Tube - Series 16,in,1.6,1.64,11,Spiral/Glassine,,oz,0.56
SEMROC Astronautics,ST-16120,Standard Body Tube - Series 16,in,1.6,1.64,12,Spiral/Glassine,,oz,0.61
SEMROC Astronautics,ST-16128,Standard Body Tube - Series 16,in,1.6,1.64,12.8,Spiral/Glassine,,oz,0.651
SEMROC Astronautics,ST-16130,Standard Body Tube - Series 16,in,1.6,1.64,13,Spiral/Glassine,,oz,0.662
SEMROC Astronautics,ST-16132,Standard Body Tube - Series 16,in,1.6,1.64,13.2,Spiral/Glassine,,oz,0.672
SEMROC Astronautics,ST-16151,Standard Body Tube - Series 16,in,1.6,1.64,15.12,Spiral/Glassine,,oz,0.77
SEMROC Astronautics,ST-16160,Standard Body Tube - Series 16,in,1.6,1.64,16,Spiral/Glassine,,oz,0.814
SEMROC Astronautics,ST-16161,Standard Body Tube - Series 16,in,1.6,1.64,16.125,Spiral/Glassine,,oz,0.821
SEMROC Astronautics,ST-16163,Standard Body Tube - Series 16,in,1.6,1.64,16.25,Spiral/Glassine,,oz,0.827
SEMROC Astronautics,ST-16180,Standard Body Tube - Series 16,in,1.6,1.64,18,Spiral/Glassine,,oz,0.916
SEMROC Astronautics,ST-1620,Standard Body Tube - Series 16,in,1.6,1.64,2,Spiral/Glassine,,oz,0.102
SEMROC Astronautics,ST-1622,Standard Body Tube - Series 16,in,1.6,1.64,2.25,Spiral/Glassine,,oz,0.114
SEMROC Astronautics,ST-1630,Standard Body Tube - Series 16,in,1.6,1.64,3,Spiral/Glassine,,oz,0.153
SEMROC Astronautics,ST-1650,Standard Body Tube - Series 16,in,1.6,1.64,5,Spiral/Glassine,,oz,0.254
SEMROC Astronautics,ST-1652,Standard Body Tube - Series 16,in,1.6,1.64,5.25,Spiral/Glassine,,oz,0.267
SEMROC Astronautics,ST-1660,Standard Body Tube - Series 16,in,1.6,1.64,6,Spiral/Glassine,,oz,0.305
SEMROC Astronautics,ST-1667,Standard Body Tube - Series 16,in,1.6,1.64,6.7,Spiral/Glassine,,oz,0.341
SEMROC Astronautics,ST-1675,Standard Body Tube - Series 16,in,1.6,1.64,7.5,Spiral/Glassine,,oz,0.382
SEMROC Astronautics,ST-1685,Standard Body Tube - Series 16,in,1.6,1.64,8.5,Spiral/Glassine,,oz,0.432
SEMROC Astronautics,ST-1690,Standard Body Tube - Series 16,in,1.6,1.64,9,Spiral/Glassine,,oz,0.458
SEMROC Astronautics,ST-18120,Standard Body Tube - Series 18,in,1.8,1.84,12,Spiral/Glassine,,oz,0.686
SEMROC Astronautics,ST-18180,Standard Body Tube - Series 18,in,1.8,1.84,18,Spiral/Glassine,,oz,1.029
SEMROC Astronautics,ST-1830,Standard Body Tube - Series 18,in,1.8,1.84,3,Spiral/Glassine,,oz,0.171
SEMROC Astronautics,ST-1844,Standard Body Tube - Series 18,in,1.8,1.84,4.375,Spiral/Glassine,,oz,0.241
SEMROC Astronautics,ST-1860,Standard Body Tube - Series 18,in,1.8,1.84,6,Spiral/Glassine,,oz,0.343
SEMROC Astronautics,ST-1890,Standard Body Tube - Series 18,in,1.8,1.84,9,Spiral/Glassine,,oz,0.514
SEMROC Astronautics,ST-20120,Standard Body Tube - Series 20,in,2,2.04,12,Spiral/Glassine,,oz,0.762
SEMROC Astronautics,ST-20128,Standard Body Tube - Series 20,in,2,2.04,12.8,Spiral/Glassine,,oz,0.814
SEMROC Astronautics,ST-20180,Standard Body Tube - Series 20,in,2,2.04,18,Spiral/Glassine,,oz,1.145
SEMROC Astronautics,ST-2030,Standard Body Tube - Series 20,in,2,2.04,3,Spiral/Glassine,,oz,0.191
SEMROC Astronautics,ST-2050,Standard Body Tube - Series 20,in,2,2.04,5,Spiral/Glassine,,oz,0.318
SEMROC Astronautics,ST-2060,Standard Body Tube - Series 20,in,2,2.04,6,Spiral/Glassine,,oz,0.381
SEMROC Astronautics,ST-2098,Standard Body Tube - Series 20,in,2,2.04,9.8,Spiral/Glassine,,oz,0.623
SEMROC Astronautics,ST-5120,Standard Body Tube - Series 5,in,0.515,0.543,12,Spiral/Glassine,,oz,0.16
SEMROC Astronautics,ST-515,Standard Body Tube - Series 5,in,0.515,0.543,1.5,Spiral/Glassine,,oz,0.021
SEMROC Astronautics,ST-5180,Standard Body Tube - Series 5,in,0.515,0.543,18,Spiral/Glassine,,oz,0.24
SEMROC Astronautics,ST-520,Standard Body Tube - Series 5,in,0.515,0.543,2,Spiral/Glassine,,oz,0.027
SEMROC Astronautics,ST-520E,Standard Body Tube - Series 5,in,0.515,0.543,2,Spiral/Glassine,,oz,0.027
SEMROC Astronautics,ST-525,Standard Body Tube - Series 5,in,0.515,0.543,2.5,Spiral/Glassine,,oz,0.033
SEMROC Astronautics,ST-530,Standard Body Tube - Series 5,in,0.515,0.543,3,Spiral/Glassine,,oz,0.04
SEMROC Astronautics,ST-540,Standard Body Tube - Series 5,in,0.515,0.543,4,Spiral/Glassine,,oz,0.054
SEMROC Astronautics,ST-545,Standard Body Tube - Series 5,in,0.515,0.543,4.5,Spiral/Glassine,,oz,0.06
SEMROC Astronautics,ST-560,Standard Body Tube - Series 5,in,0.515,0.543,6,Spiral/Glassine,,oz,0.08
SEMROC Astronautics,ST-590,Standard Body Tube - Series 5,in,0.515,0.543,9,Spiral/Glassine,,oz,0.12
SEMROC Astronautics,ST-7100,Standard Body Tube - Series 7,in,0.715,0.759,10,Spiral/Glassine,,oz,0.158
SEMROC Astronautics,ST-7120,Standard Body Tube - Series 7,in,0.715,0.759,12,Spiral/Glassine,,oz,0.192
SEMROC Astronautics,ST-7180,Standard Body Tube - Series 7,in,0.715,0.759,18,Spiral/Glassine,,oz,0.288
