Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Base Ext. Len
SEMROC Astronautics,BC-17541,Ogive,in,4.100,1.840,0,0.800,1.750,0,ogive,0,Balsa,3.479,oz,0.530,0
SEMROC Astronautics,BC-17560,Ogive,in,6.000,1.840,0,0.800,1.750,0,ogive,0,Balsa,4.828,oz,0.690,0
SEMROC Astronautics,BC-17561,Elliptical,in,6.100,1.840,0,0.800,1.750,0,elliptical,0,Balsa,4.899,oz,0.720,0
SEMROC Astronautics,BC-17567,Bezier,in,6.700,1.840,0,0.800,1.750,0,elliptical,0,Balsa,5.325,oz,0.760,0
SEMROC Astronautics,BC-17585,Ogive,in,8.500,1.840,0,0.800,1.750,0,ogive,0,Balsa,6.603,oz,0.920,0
SEMROC Astronautics,BC-17590,Conical,in,9.000,1.840,0,0.800,1.750,0,cone,0,Balsa,6.958,oz,1.130,0
SEMROC Astronautics,BC-17592,Ogive,in,9.200,1.840,0,0.800,1.750,0,ogive,0,Balsa,7.100,oz,1.890,0
SEMROC Astronautics,BC-1828,Elliptical,in,2.800,1.840,0,0.700,1.800,0,elliptical,0,Balsa,2.485,oz,0.700,0
SEMROC Astronautics,BC-1835,Elliptical,in,3.500,1.840,0,0.700,1.800,0,elliptical,0,Balsa,2.982,oz,1.000,0
SEMROC Astronautics,BC-1837,Bezier,in,3.700,1.840,0,0.700,1.800,0,elliptical,0,Balsa,3.124,oz,1.000,0
SEMROC Astronautics,BC-1842,Elliptical,in,4.200,1.840,0,0.700,1.800,0,elliptical,0,Balsa,3.479,oz,1.000,0
SEMROC Astronautics,BC-1853,Ogive,in,5.300,1.840,0,0.700,1.800,0,ogive,0,Balsa,4.260,oz,0.650,0
SEMROC Astronautics,BC-1856,Ogive,in,5.600,1.840,0,0.700,1.800,0,ogive,0,Balsa,4.473,oz,1.100,0
SEMROC Astronautics,BC-1861,Elliptical,in,6.100,1.840,0,0.700,1.800,0,elliptical,0,Balsa,4.828,oz,1.200,0
SEMROC Astronautics,BC-1869,Ogive,in,6.900,1.840,0,0.700,1.800,0,ogive,0,Balsa,5.396,oz,1.200,0
SEMROC Astronautics,BC-1869C,Conical,in,6.900,1.840,0,0.700,1.800,0,cone,0,Balsa,5.396,oz,1.200,0
SEMROC Astronautics,BC-20045,Elliptical,in,4.500,2.040,0,0.800,2.000,0,elliptical,0,Balsa,3.763,oz,0.630,0
SEMROC Astronautics,BC-20107,Conical,in,10.700,2.040,0,0.700,2.000,0,cone,0,Balsa,8.094,oz,1.780,0
SEMROC Astronautics,BC-2025,Elliptical,in,2.500,2.040,0,0.700,2.000,0,elliptical,0,Balsa,2.272,oz,0.420,0
SEMROC Astronautics,BC-2026,Bezier,in,2.600,2.040,0,0.700,2.000,0,elliptical,0,Balsa,2.343,oz,0.430,0
SEMROC Astronautics,BC-2033,Elliptical,in,3.300,2.040,0,0.700,2.000,0,elliptical,0,Balsa,2.840,oz,0.610,0
SEMROC Astronautics,BC-2039,Bezier,in,3.900,2.040,0,0.700,2.000,0,elliptical,0,Balsa,3.266,oz,0.690,0
SEMROC Astronautics,BC-2045,Ogive,in,4.500,2.040,0,0.700,2.000,0,ogive,0,Balsa,3.692,oz,1.540,0
SEMROC Astronautics,BC-2050,Conical,in,5.000,2.040,0,0.700,2.000,0,cone,0,Balsa,4.047,oz,1.360,0
SEMROC Astronautics,BC-2057,Ogive,in,5.700,2.040,0,0.700,2.000,0,ogive,0,Balsa,4.544,oz,1.680,0
SEMROC Astronautics,BC-2065,Ogive,in,6.500,2.040,0,0.700,2.000,0,ogive,0,Balsa,5.112,oz,1.770,0
SEMROC Astronautics,BC-2080,Elliptical,in,8.000,2.040,0,0.700,2.000,0,elliptical,0,Balsa,6.177,oz,1.970,0
SEMROC Astronautics,BC-225103,Fat Ogive,in,10.300,2.340,0,0.800,2.250,0,ogive,0,Balsa,7.881,oz,2.900,0
SEMROC Astronautics,BC-22530,Bezier,in,3.000,2.340,0,0.800,2.250,0,elliptical,0,Balsa,2.698,oz,0.900,0
SEMROC Astronautics,BC-22545,Elliptical,in,4.500,2.340,0,0.800,2.250,0,elliptical,0,Balsa,3.763,oz,1.050,0
SEMROC Astronautics,BC-22563,Bezier,in,6.300,2.340,0,0.800,2.250,0,elliptical,0,Balsa,5.041,oz,1.480,0
SEMROC Astronautics,BC-22567,Bezier,in,6.700,2.340,0,0.800,2.250,0,elliptical,0,Balsa,5.325,oz,1.550,0
SEMROC Astronautics,BC-22567E,Ogive,in,6.700,2.340,0,0.800,2.250,0,ogive,0,Balsa,5.325,oz,1.510,0
SEMROC Astronautics,BC-22569,Ogive,in,6.900,2.340,0,0.800,2.250,0,ogive,0,Balsa,5.467,oz,1.670,0
SEMROC Astronautics,BC-22578,Elliptical,in,7.800,2.340,0,0.800,2.250,0,elliptical,0,Balsa,6.106,oz,1.800,0
SEMROC Astronautics,BC-22579,Ogive,in,7.900,2.340,0,0.800,2.250,0,ogive,0,Balsa,6.177,oz,1.700,0
SEMROC Astronautics,BC-22588,Elliptical,in,8.800,2.340,0,0.800,2.250,0,elliptical,0,Balsa,6.816,oz,2.200,0
SEMROC Astronautics,BC-22595,Secant-Ogive,in,9.500,2.340,0,0.800,2.250,0,Sears-haack,0,Balsa,7.313,oz,2.500,0
SEMROC Astronautics,BC-22597,Ogive,in,9.700,2.340,0,0.800,2.250,0,ogive,0,Balsa,7.455,oz,2.600,0
SEMROC Astronautics,BC-27540,Blunt Ogive,in,4.000,2.840,0,0.800,2.750,0,elliptical,0,Balsa,3.408,oz,1.230,0
SEMROC Astronautics,BC-27554,Ogive,in,5.400,2.840,0,0.800,2.750,0,ogive,0,Balsa,4.402,oz,1.550,0
SEMROC Astronautics,BC-27555,Bezier,in,5.500,2.840,0,0.800,2.750,0,elliptical,0,Balsa,4.473,oz,1.610,0
SEMROC Astronautics,BC-505,Spherical,in,0.500,0.543,0,0.400,0.515,0,elliptical,0,Balsa,0.639,oz,0.020,0
SEMROC Astronautics,BC-508,Elliptical,in,0.800,0.543,0,0.400,0.515,0,elliptical,0,Balsa,0.852,oz,0.020,0
SEMROC Astronautics,BC-510,Conical,in,1.000,0.543,0,0.400,0.515,0,cone,0,Balsa,0.994,oz,0.200,0
SEMROC Astronautics,BC-510P,Elliptical,in,1.000,0.543,0,0.400,0.515,0,elliptical,0,Balsa,0.994,oz,0.020,0
SEMROC Astronautics,BC-512,Ogive,in,1.200,0.543,0,0.400,0.515,0,ogive,0,Balsa,1.136,oz,0.020,0
SEMROC Astronautics,BC-514,Ogive,in,1.400,0.543,0,0.400,0.515,0,ogive,0,Balsa,1.278,oz,0.030,0
SEMROC Astronautics,BC-515,Conical,in,1.500,0.543,0,0.400,0.515,0,cone,0,Balsa,1.349,oz,0.030,0
SEMROC Astronautics,BC-515E,Ogive,in,1.500,0.543,0,0.400,0.515,0,ogive,0,Balsa,1.349,oz,0.030,0
SEMROC Astronautics,BC-516,Conical,in,1.600,0.543,0,0.400,0.515,0,cone,0,Balsa,1.420,oz,0.030,0
SEMROC Astronautics,BC-517,Ogive,in,1.700,0.543,0,0.400,0.515,0,ogive,0,Balsa,1.491,oz,0.030,0
SEMROC Astronautics,BC-518,Ogive,in,1.800,0.543,0,0.400,0.515,0,ogive,0,Balsa,1.562,oz,0.030,0
SEMROC Astronautics,BC-522,Elliptical,in,2.200,0.543,0,0.400,0.515,0,elliptical,0,Balsa,1.846,oz,0.040,0
SEMROC Astronautics,BC-522P,Ogive,in,2.200,0.543,0,0.400,0.515,0,ogive,0,Balsa,1.846,oz,0.040,0
SEMROC Astronautics,BC-523,Taper-Conical,in,2.300,0.543,0,0.400,0.515,0,Power-series,0,Balsa,1.917,oz,0.060,0
SEMROC Astronautics,BC-524,Ogive,in,2.400,0.543,0,0.400,0.515,0,ogive,0,Balsa,1.988,oz,0.040,0
SEMROC Astronautics,BC-526,Conical,in,2.600,0.543,0,0.400,0.515,0,cone,0,Balsa,2.130,oz,0.030,0
SEMROC Astronautics,BC-528,Conical,in,2.800,0.543,0,0.400,0.515,0,cone,0,Balsa,2.272,oz,0.030,0
SEMROC Astronautics,BC-529,Ogive,in,2.900,0.543,0,0.400,0.515,0,ogive,0,Balsa,2.343,oz,0.040,0
SEMROC Astronautics,BC-708,Conical,in,0.800,0.759,0,0.500,0.715,0,cone,0,Balsa,0.923,oz,0.200,0
SEMROC Astronautics,BC-710,Conical,in,1.000,0.759,0,0.500,0.715,0,cone,0,Balsa,1.065,oz,0.030,0
SEMROC Astronautics,BC-711,Conical,in,1.100,0.759,0,0.500,0.715,0,cone,0,Balsa,1.136,oz,0.030,0
SEMROC Astronautics,BC-714,Ogive,in,1.400,0.759,0,0.500,0.715,0,ogive,0,Balsa,1.349,oz,0.040,0
SEMROC Astronautics,BC-715,Rounded Ogive,in,1.500,0.759,0,0.500,0.715,0,elliptical,0,Balsa,1.420,oz,0.040,0
SEMROC Astronautics,BC-716,Elliptical,in,1.600,0.759,0,0.500,0.715,0,elliptical,0,Balsa,1.491,oz,0.040,0
SEMROC Astronautics,BC-719,Ogive,in,1.900,0.759,0,0.500,0.715,0,ogive,0,Balsa,1.704,oz,0.040,0
SEMROC Astronautics,BC-720,Bezier,in,2.000,0.759,0,0.500,0.715,0,elliptical,0,Balsa,1.775,oz,0.040,0
SEMROC Astronautics,BC-721,Ogive,in,2.100,0.759,0,0.500,0.715,0,ogive,0,Balsa,1.846,oz,0.040,0
SEMROC Astronautics,BC-722,Rounded Ogive,in,2.200,0.759,0,0.500,0.715,0,elliptical,0,Balsa,1.917,oz,0.040,0
SEMROC Astronautics,BC-723,Ogive,in,2.300,0.759,0,0.500,0.715,0,ogive,0,Balsa,1.988,oz,0.040,0
SEMROC Astronautics,BC-723P,Rounded Ogive,in,2.300,0.759,0,0.500,0.715,0,elliptical,0,Balsa,1.988,oz,0.050,0
SEMROC Astronautics,BC-727,Ogive,in,2.700,0.759,0,0.500,0.715,0,ogive,0,Balsa,2.272,oz,0.050,0
SEMROC Astronautics,BC-728,Conical,in,2.800,0.759,0,0.500,0.715,0,cone,0,Balsa,2.343,oz,0.050,0
SEMROC Astronautics,BC-728F,Elliptical,in,2.800,0.759,0,0.500,0.715,0,elliptical,0,Balsa,2.343,oz,0.050,0
SEMROC Astronautics,BC-730,Ogive,in,3.000,0.759,0,0.500,0.715,0,ogive,0,Balsa,2.485,oz,0.060,0
SEMROC Astronautics,BC-730P,Rounded Ogive,in,3.000,0.759,0,0.500,0.715,0,elliptical,0,Balsa,2.485,oz,0.060,0
SEMROC Astronautics,BC-731,Rounded Ogive,in,3.100,0.759,0,0.500,0.715,0,elliptical,0,Balsa,2.556,oz,0.060,0
SEMROC Astronautics,BC-731F,Ogive,in,3.100,0.759,0,0.500,0.715,0,ogive,0,Balsa,2.556,oz,0.060,0
SEMROC Astronautics,BC-733,Ogive,in,3.300,0.759,0,0.500,0.715,0,ogive,0,Balsa,2.698,oz,0.060,0
SEMROC Astronautics,BC-734P,Pointed Ogive,in,3.400,0.759,0,0.500,0.715,0,ogive,0,Balsa,2.769,oz,0.060,0
SEMROC Astronautics,BC-735,Ogive,in,3.500,0.759,0,0.500,0.715,0,ogive,0,Balsa,2.840,oz,0.060,0
SEMROC Astronautics,BC-736,Conical,in,3.600,0.759,0,0.500,0.715,0,cone,0,Balsa,2.911,oz,0.060,0
SEMROC Astronautics,BC-737,Ogive,in,3.700,0.759,0,0.500,0.715,0,ogive,0,Balsa,2.982,oz,0.060,0
SEMROC Astronautics,BC-739,Conical,in,3.900,0.759,0,0.500,0.715,0,cone,0,Balsa,3.124,oz,0.060,0
SEMROC Astronautics,BC-739O,Ogive,in,3.900,0.759,0,0.500,0.715,0,ogive,0,Balsa,3.124,oz,0.070,0
SEMROC Astronautics,BC-744,Ogive,in,4.400,0.759,0,0.500,0.715,0,ogive,0,Balsa,3.479,oz,0.070,0
SEMROC Astronautics,BC-812,Conical,in,1.200,0.908,0,0.500,0.865,0,cone,0,Balsa,1.207,oz,0.040,0
SEMROC Astronautics,BC-813,Elliptical,in,1.300,0.908,0,0.500,0.865,0,elliptical,0,Balsa,1.278,oz,0.050,0
SEMROC Astronautics,BC-814,Elliptical,in,1.400,0.908,0,0.500,0.865,0,elliptical,0,Balsa,1.349,oz,0.070,0
SEMROC Astronautics,BC-815,Ogive,in,1.500,0.908,0,0.500,0.865,0,ogive,0,Balsa,1.420,oz,0.070,0
SEMROC Astronautics,BC-817,Ogive,in,1.700,0.908,0,0.500,0.865,0,ogive,0,Balsa,1.562,oz,0.080,0
SEMROC Astronautics,BC-818,Bezier,in,1.800,0.908,0,0.500,0.865,0,elliptical,0,Balsa,1.633,oz,0.080,0
SEMROC Astronautics,BC-818L,Ogive,in,1.800,0.908,0,0.500,0.865,0,ogive,0,Balsa,1.633,oz,0.080,0
SEMROC Astronautics,BC-819,Ogive,in,1.900,0.908,0,0.500,0.865,0,ogive,0,Balsa,1.704,oz,0.080,0
SEMROC Astronautics,BC-820,Bezier,in,2.000,0.908,0,0.500,0.865,0,elliptical,0,Balsa,1.775,oz,0.080,0
SEMROC Astronautics,BC-821,Elliptical,in,2.100,0.908,0,0.500,0.865,0,elliptical,0,Balsa,1.846,oz,0.090,0
SEMROC Astronautics,BC-823,Ogive,in,2.300,0.908,0,0.500,0.865,0,ogive,0,Balsa,1.988,oz,0.100,0
SEMROC Astronautics,BC-823E,Fat Ogive,in,2.300,0.908,0,0.500,0.865,0,elliptical,0,Balsa,1.988,oz,0.100,0
SEMROC Astronautics,BC-826,Rounded Ogive,in,2.600,0.908,0,0.500,0.865,0,elliptical,0,Balsa,2.201,oz,0.110,0
SEMROC Astronautics,BC-830,Ogive,in,3.000,0.908,0,0.500,0.865,0,ogive,0,Balsa,2.485,oz,0.120,0
SEMROC Astronautics,BC-832,Bezier,in,3.200,0.908,0,0.500,0.865,0,elliptical,0,Balsa,2.627,oz,0.130,0
SEMROC Astronautics,BC-832C,Conical,in,3.200,0.908,0,0.500,0.865,0,cone,0,Balsa,2.627,oz,0.110,0
SEMROC Astronautics,BC-833,Elliptical,in,3.300,0.908,0,0.500,0.865,0,elliptical,0,Balsa,2.698,oz,0.130,0
SEMROC Astronautics,BC-834C,Bezier,in,3.400,0.908,0,0.500,0.865,0,elliptical,0,Balsa,2.769,oz,0.120,0
SEMROC Astronautics,BC-836,Secant-Ogive,in,3.600,0.908,0,0.500,0.865,0,Sears-Haack,0,Balsa,2.911,oz,0.130,0
SEMROC Astronautics,BC-837,Ogive,in,3.700,0.908,0,0.500,0.865,0,ogive,0,Balsa,2.982,oz,0.130,0
SEMROC Astronautics,BC-840,Elliptical,in,4.000,0.908,0,0.500,0.865,0,elliptical,0,Balsa,3.195,oz,0.150,0
SEMROC Astronautics,BC-845,Ogive,in,4.500,0.908,0,0.500,0.865,0,ogive,0,Balsa,3.550,oz,0.160,0
SEMROC Astronautics,BC-845P,Rounded Ogive,in,4.500,0.908,0,0.500,0.865,0,elliptical,0,Balsa,3.550,oz,0.170,0
SEMROC Astronautics,BC-846,Rounded Ogive,in,4.600,0.908,0,0.500,0.865,0,elliptical,0,Balsa,3.621,oz,0.160,0
SEMROC Astronautics,BC-847,Conical,in,4.700,0.908,0,0.500,0.865,0,cone,0,Balsa,3.692,oz,0.190,0
SEMROC Astronautics,BC-847W,Ogive,in,4.700,0.908,0,0.500,0.865,0,ogive,0,Balsa,3.692,oz,0.190,0
SEMROC Astronautics,BC-848,Ogive,in,4.800,0.908,0,0.500,0.865,0,ogive,0,Balsa,3.763,oz,0.200,0
SEMROC Astronautics,BC-853,Ogive,in,5.300,0.908,0,0.500,0.865,0,ogive,0,Balsa,4.118,oz,0.270,0
SEMROC Astronautics,BC-8F28,Ogive,in,2.750,0.921,0,0.500,0.865,0,ogive,0,Balsa,2.308,oz,0.120,0
SEMROC Astronautics,BC-927,Ogive,in,2.700,0.998,0,0.600,0.950,0,ogive,0,Balsa,2.343,oz,0.130,0
SEMROC Astronautics,BC-932,Elliptical,in,3.200,0.998,0,0.600,0.950,0,elliptical,0,Balsa,2.698,oz,0.150,0
SEMROC Astronautics,BC-940,Bezier,in,4.000,0.998,0,0.600,0.950,0,elliptical,0,Balsa,3.266,oz,0.160,0
SEMROC Astronautics,BC-944,Ogive,in,4.400,0.998,0,0.600,0.950,0,ogive,0,Balsa,3.550,oz,0.160,0
SEMROC Astronautics,BNC-3A,Conical,in,0.750,0.375,0,0.250,0.349,0,cone,0,Balsa,0.710,oz,0.010,0
SEMROC Astronautics,BNC-5AW,Elliptical,in,2.250,0.541,0,0.250,0.515,0,elliptical,0,Balsa,1.775,oz,0.210,0
SEMROC Astronautics,BNC-5AX,Ogive,in,2.250,0.541,0,0.250,0.515,0,ogive,0,Balsa,1.775,oz,0.200,0
SEMROC Astronautics,BNC-5E,Ogive,in,1.380,0.541,0,0.250,0.515,0,ogive,0,Balsa,1.157,oz,0.020,0
SEMROC Astronautics,BNC-5S,Conical,in,1.500,0.541,0,0.250,0.515,0,cone,0,Balsa,1.243,oz,0.016,0
SEMROC Astronautics,BNC-5V,Elliptical,in,0.750,0.541,0,0.250,0.515,0,elliptical,0,Balsa,0.710,oz,0.013,0
SEMROC Astronautics,BNC-5W,Ogive,in,2.870,0.541,0,0.250,0.515,0,ogive,0,Balsa,2.215,oz,0.040,0
SEMROC Astronautics,BNC-10A,Blunt Ogive,in,0.810,0.720,0,0.250,0.710,0,elliptical,0,Balsa,0.753,oz,0.030,0
SEMROC Astronautics,BNC-10B,Elliptical,in,1.700,0.720,0,0.250,0.710,0,elliptical,0,Balsa,1.385,oz,0.050,0
SEMROC Astronautics,BNC-20A,Blunt Ogive,in,0.810,0.736,0,0.375,0.710,0,elliptical,0,Balsa,0.841,oz,0.030,0
SEMROC Astronautics,BNC-20AZ,Ogive,in,2.500,0.736,0,0.375,0.710,0,ogive,0,Balsa,2.041,oz,0.070,0
